date_utc,pi_ma110,pi_ma350x2
2011-01-27,0.2502741740407854,0.3797072531040185
2011-01-28,0.2534334897562671,0.38279368241149075
2011-01-29,0.25651325371075345,0.3857768529993733
2011-01-30,0.25995597473686427,0.38918108781851846
2011-01-31,0.2638319825769662,0.39311616313211434
2011-02-01,0.2692612125567999,0.39916293278092674
2011-02-02,0.27487774248240054,0.40534944284388214
2011-02-03,0.28018313318169136,0.4110947486473831
2011-02-04,0.28657915995071637,0.41813441838038407
2011-02-05,0.2938734975858383,0.42625701107759045
2011-02-06,0.3010410651534059,0.43412909722082266
2011-02-07,0.3081750874784779,0.44181317517909324
2011-02-08,0.3155534658568563,0.449734691229212
2011-02-09,0.3237431077079418,0.45867461100159496
2011-02-10,0.3316453866555042,0.46710512400922
2011-02-11,0.3401995580899427,0.4762729105067767
2011-02-12,0.34888147956782034,0.48561254193778824
2011-02-13,0.3570876187309461,0.4945318096618888
2011-02-14,0.3653670117417242,0.5035729824021683
2011-02-15,0.3731354802101927,0.5122966273070746
2011-02-16,0.3808705038937243,0.5207264024724926
2011-02-17,0.38852746963737567,0.5291540781082662
2011-02-18,0.3948458964042945,0.5359753563406925
2011-02-19,0.4016164199798864,0.5432057353644397
2011-02-20,0.4076567347423403,0.5495184708146288
2011-02-21,0.41344004490814606,0.5554548538093074
2011-02-22,0.4196016825627499,0.5617634259435849
2011-02-23,0.4256442486823469,0.5682463399438803
2011-02-24,0.4322206707736375,0.5755897992767388
2011-02-25,0.43684832571964144,0.5820857277960652
2011-02-26,0.44241589328720893,0.588961574560003
2011-02-27,0.44828840216721694,0.5951210856089557
2011-02-28,0.45408072855555737,0.6008625180643854
2011-03-01,0.460310883156681,0.6071636920018869
2011-03-02,0.46676854081433866,0.6135911481028875
2011-03-03,0.4728124451693073,0.6199456989506269
2011-03-04,0.4784439767008388,0.6258569704558739
2011-03-05,0.48410884703113405,0.6317764940522403
2011-03-06,0.4896611570968983,0.6374089962907454
2011-03-07,0.49554029101047287,0.6429151969435671
2011-03-08,0.5011631041433018,0.648254549816069
2011-03-09,0.5064869078300979,0.6534825764023322
2011-03-10,0.5122741178279391,0.6592488775825187
2011-03-11,0.5176523523780941,0.6645665158550669
2011-03-12,0.5234277173614293,0.6701966336937464
2011-03-13,0.5289006002443122,0.6755305253985611
2011-03-14,0.5344048788285656,0.6808272840666835
2011-03-15,0.5397141965185525,0.6858682921990688
2011-03-16,0.544860247560828,0.6906633631386258
2011-03-17,0.549734301614882,0.6951712346731863
2011-03-18,0.554409609795652,0.6994177168295308
2011-03-19,0.5588568289025437,0.703280890239626
2011-03-20,0.5634598968623797,0.7068907009329611
2011-03-21,0.5684217887542716,0.710628255306542
2011-03-22,0.5736617013021204,0.7147917063630369
2011-03-23,0.5790194490498681,0.7192877259686852
2011-03-24,0.5846168750164543,0.7239489123585358
2011-03-25,0.590731915322687,0.7286710439768229
2011-03-26,0.5966089421917535,0.7330932464814318
2011-03-27,0.602176509759321,0.7371780301294971
2011-03-28,0.6072334477282659,0.7409829541047425
2011-03-29,0.6122218255801096,0.7447342293447627
2011-03-30,0.6175345698843204,0.7484274965786195
2011-03-31,0.622765290605041,0.752043322584881
2011-04-01,0.6276852005149511,0.7555353255559999
2011-04-02,0.6327494922994298,0.7590656516452751
2011-04-03,0.6377170126894868,0.7625392792468174
2011-04-04,0.6416207063831805,0.7651256892933679
2011-04-05,0.6459062184066008,0.7679974909308934
2011-04-06,0.6503209931813755,0.7710532956908468
2011-04-07,0.654925895746126,0.7742009311793474
2011-04-08,0.6595113912416215,0.777289352748797
2011-04-09,0.6639614859915439,0.7802166056375002
2011-04-10,0.668161096987695,0.7831115298379561
2011-04-11,0.6729239612312489,0.7862926909173956
2011-04-12,0.6784319036441467,0.790210977631814
2011-04-13,0.6845611822968498,0.7946710990453927
2011-04-14,0.6913236126231435,0.7996610925449436
2011-04-15,0.6979341814228023,0.8044862379208911
2011-04-16,0.7049762600765582,0.8097898571720628
