symbol,ts_utc,open,high,low,close,volume_usd
ADAUSDT,2024-08-24 00:00:00+00:00,0.391,0.4012,0.3875,0.3933,120047076.636
ADAUSDT,2024-08-25 00:00:00+00:00,0.3934,0.3942,0.3771,0.3846,119489230.4191
ADAUSDT,2024-08-26 00:00:00+00:00,0.3845,0.3878,0.3656,0.366,133627694.3291
ADAUSDT,2024-08-27 00:00:00+00:00,0.3659,0.3726,0.3415,0.35,158933197.9874
ADAUSDT,2024-08-28 00:00:00+00:00,0.3501,0.3604,0.3404,0.3498,160490938.8261
ADAUSDT,2024-08-29 00:00:00+00:00,0.3498,0.3674,0.3489,0.3577,125036148.27
ADAUSDT,2024-08-30 00:00:00+00:00,0.3577,0.3619,0.337,0.3468,145598763.7384
ADAUSDT,2024-08-31 00:00:00+00:00,0.3467,0.3501,0.3442,0.3449,50507141.0659
ADAUSDT,2024-09-01 00:00:00+00:00,0.3448,0.3457,0.3265,0.3308,110582343.8458
ADAUSDT,2024-09-02 00:00:00+00:00,0.3307,0.3372,0.3247,0.3359,115378092.8476
ADAUSDT,2024-09-03 00:00:00+00:00,0.336,0.3395,0.3172,0.3182,122339562.6181
ADAUSDT,2024-09-04 00:00:00+00:00,0.3182,0.329,0.3045,0.323,182925284.2078
ADAUSDT,2024-09-05 00:00:00+00:00,0.3229,0.3397,0.3192,0.3249,199511299.4313
ADAUSDT,2024-09-06 00:00:00+00:00,0.325,0.3317,0.3031,0.3144,244239776.5437
ADAUSDT,2024-09-07 00:00:00+00:00,0.3144,0.3277,0.3142,0.3252,82169430.4875
ADAUSDT,2024-09-08 00:00:00+00:00,0.3252,0.3408,0.3235,0.3388,119944529.3745
ADAUSDT,2024-09-09 00:00:00+00:00,0.3388,0.3487,0.3373,0.3433,128956109.4904
ADAUSDT,2024-09-10 00:00:00+00:00,0.3433,0.3456,0.3372,0.3428,92252871.7044
ADAUSDT,2024-09-11 00:00:00+00:00,0.3428,0.3571,0.3297,0.353,161448600.7612
ADAUSDT,2024-09-12 00:00:00+00:00,0.353,0.3615,0.3517,0.3561,128067860.9184
ADAUSDT,2024-09-13 00:00:00+00:00,0.3562,0.3649,0.35,0.3603,100952362.538
ADAUSDT,2024-09-14 00:00:00+00:00,0.3603,0.3615,0.3508,0.3537,75843887.3789
ADAUSDT,2024-09-15 00:00:00+00:00,0.3537,0.356,0.3338,0.3382,108301442.7885
ADAUSDT,2024-09-16 00:00:00+00:00,0.3382,0.3383,0.3261,0.33,119612835.3832
ADAUSDT,2024-09-17 00:00:00+00:00,0.33,0.3429,0.3281,0.3336,99355488.6299
ADAUSDT,2024-09-18 00:00:00+00:00,0.3335,0.3441,0.3269,0.344,124152125.9184
ADAUSDT,2024-09-19 00:00:00+00:00,0.344,0.3563,0.3439,0.3509,127831117.32
ADAUSDT,2024-09-20 00:00:00+00:00,0.3508,0.3611,0.3486,0.352,114033203.2419
ADAUSDT,2024-09-21 00:00:00+00:00,0.352,0.3597,0.3502,0.3582,67803555.4855
ADAUSDT,2024-09-22 00:00:00+00:00,0.3581,0.3593,0.3425,0.3515,103241307.5512
ADAUSDT,2024-09-23 00:00:00+00:00,0.3515,0.3656,0.345,0.3636,144082513.5327
ADAUSDT,2024-09-24 00:00:00+00:00,0.3636,0.3914,0.3583,0.3876,204485286.9902
ADAUSDT,2024-09-25 00:00:00+00:00,0.3877,0.3937,0.3787,0.3808,131387367.7924
ADAUSDT,2024-09-26 00:00:00+00:00,0.3808,0.4041,0.3778,0.4013,164401158.0738
ADAUSDT,2024-09-27 00:00:00+00:00,0.4013,0.4156,0.3991,0.4017,157449016.4141
ADAUSDT,2024-09-28 00:00:00+00:00,0.4018,0.4058,0.3919,0.4005,107652487.7188
ADAUSDT,2024-09-29 00:00:00+00:00,0.4004,0.404,0.3924,0.3972,93824379.2634
ADAUSDT,2024-09-30 00:00:00+00:00,0.3973,0.3975,0.3704,0.3732,166408444.4028
ADAUSDT,2024-10-01 00:00:00+00:00,0.3731,0.3859,0.3421,0.3518,265491305.5339
ADAUSDT,2024-10-02 00:00:00+00:00,0.3519,0.3622,0.3355,0.3429,188392509.6518
ADAUSDT,2024-10-03 00:00:00+00:00,0.343,0.3494,0.3314,0.3451,192341543.5409
ADAUSDT,2024-10-04 00:00:00+00:00,0.345,0.356,0.3427,0.3514,109427860.66
ADAUSDT,2024-10-05 00:00:00+00:00,0.3515,0.3556,0.3452,0.3507,78569835.4332
ADAUSDT,2024-10-06 00:00:00+00:00,0.3507,0.3584,0.3475,0.3573,77466871.7688
ADAUSDT,2024-10-07 00:00:00+00:00,0.3573,0.3683,0.35,0.3508,187905648.8317
ADAUSDT,2024-10-08 00:00:00+00:00,0.3509,0.3569,0.3406,0.3444,120851423.766
ADAUSDT,2024-10-09 00:00:00+00:00,0.3444,0.3478,0.3336,0.3395,112863159.242
ADAUSDT,2024-10-10 00:00:00+00:00,0.3395,0.3417,0.3311,0.3393,110162865.5874
ADAUSDT,2024-10-11 00:00:00+00:00,0.3394,0.3547,0.338,0.3516,90637805.3634
ADAUSDT,2024-10-12 00:00:00+00:00,0.3515,0.3567,0.3507,0.3529,59182054.3072
