symbol,ts_utc,lsr_global,lsr_top_accounts,lsr_top_positions
ADA,2020-07-24 00:00:00+00,,1.83000000000000000000,0.99000000000000000000
ADA,2020-07-25 00:00:00+00,,1.74000000000000000000,1.00000000000000000000
ADA,2020-07-26 00:00:00+00,,1.25000000000000000000,0.97000000000000000000
ADA,2020-07-27 00:00:00+00,,1.25000000000000000000,0.97000000000000000000
ADA,2020-07-28 00:00:00+00,,1.49000000000000000000,1.04000000000000000000
ADA,2020-07-29 00:00:00+00,,1.34000000000000000000,1.02000000000000000000
ADA,2020-07-30 00:00:00+00,,1.78000000000000000000,1.06000000000000000000
ADA,2020-07-31 00:00:00+00,,1.78000000000000000000,1.06000000000000000000
ADA,2020-08-01 00:00:00+00,,1.78000000000000000000,1.06000000000000000000
ADA,2020-08-02 00:00:00+00,,2.3300000000000000,1.02000000000000000000
