symbol,ts_utc,borrow_ir
ADA,2023-12-27 00:00:00+00,0.01920200000000000000
ADA,2023-12-28 00:00:00+00,0.01788100000000000000
ADA,2023-12-29 00:00:00+00,0.01937700000000000000
ADA,2023-12-30 00:00:00+00,0.01786400000000000000
ADA,2023-12-31 00:00:00+00,0.01850900000000000000
BNB,2023-08-01 00:00:00+00,0.01370400000000000000
BNB,2023-08-02 00:00:00+00,0.01370400000000000000
BNB,2023-08-03 00:00:00+00,0.01370400000000000000
BNB,2023-08-04 00:00:00+00,0.01370400000000000000
BNB,2023-08-05 00:00:00+00,0.01370400000000000000
BNB,2023-08-06 00:00:00+00,0.01370400000000000000
BNB,2023-08-07 00:00:00+00,0.01370400000000000000
BNB,2023-08-08 00:00:00+00,0.01370400000000000000
BNB,2023-08-09 00:00:00+00,0.01370400000000000000
BNB,2023-08-10 00:00:00+00,0.01370400000000000000
BNB,2023-08-11 00:00:00+00,0.27398400000000000000
BNB,2023-08-12 00:00:00+00,0.27398400000000000000
BNB,2023-08-13 00:00:00+00,0.27398400000000000000
BNB,2023-08-14 00:00:00+00,0.27398400000000000000
BNB,2023-08-15 00:00:00+00,0.27398400000000000000
BNB,2023-08-16 00:00:00+00,0.27398400000000000000
BNB,2023-08-17 00:00:00+00,0.27398400000000000000
BNB,2023-08-18 00:00:00+00,0.27398400000000000000
BNB,2023-08-19 00:00:00+00,0.27398400000000000000
BNB,2023-08-20 00:00:00+00,0.27398400000000000000
BNB,2023-08-21 00:00:00+00,0.27398400000000000000
BNB,2023-08-22 00:00:00+00,0.27398400000000000000
BNB,2023-08-23 00:00:00+00,0.27398400000000000000
BNB,2023-08-24 00:00:00+00,0.27398400000000000000
BNB,2023-08-25 00:00:00+00,0.27398400000000000000
BNB,2023-08-26 00:00:00+00,0.27398400000000000000
BNB,2023-08-27 00:00:00+00,0.27398400000000000000
BNB,2023-08-28 00:00:00+00,0.27398400000000000000
BNB,2023-08-29 00:00:00+00,0.27398400000000000000
BNB,2023-08-30 00:00:00+00,0.27398400000000000000
BNB,2023-08-31 00:00:00+00,0.27398400000000000000
BNB,2023-09-01 00:00:00+00,0.27398400000000000000
BNB,2023-09-02 00:00:00+00,0.27398400000000000000
BNB,2023-09-03 00:00:00+00,0.27398400000000000000
BNB,2023-09-04 00:00:00+00,0.27398400000000000000
BNB,2023-09-05 00:00:00+00,0.27398400000000000000
BNB,2023-09-06 00:00:00+00,0.27398400000000000000
BNB,2023-09-07 00:00:00+00,0.27398400000000000000
BNB,2023-09-08 00:00:00+00,0.27398400000000000000
BNB,2023-09-09 00:00:00+00,0.27398400000000000000
BNB,2023-09-10 00:00:00+00,0.27398400000000000000
BNB,2023-09-11 00:00:00+00,0.27398400000000000000
BNB,2023-09-12 00:00:00+00,0.27398400000000000000
BNB,2023-09-13 00:00:00+00,0.27398400000000000000
BNB,2023-09-14 00:00:00+00,0.27398400000000000000
BNB,2023-09-15 00:00:00+00,0.27398400000000000000
BNB,2023-09-16 00:00:00+00,0.27398400000000000000
BNB,2023-09-17 00:00:00+00,0.27398400000000000000
BNB,2023-09-18 00:00:00+00,0.27398400000000000000
BNB,2023-09-19 00:00:00+00,0.27398400000000000000
BNB,2023-09-20 00:00:00+00,0.27398400000000000000
BNB,2023-09-21 00:00:00+00,0.27398400000000000000
