symbol,ts_utc,funding_close
ADA,2023-12-18 00:00:00+00,0.007806
ADA,2023-12-19 00:00:00+00,0.009168
ADA,2023-12-20 00:00:00+00,0.015053
ADA,2023-12-21 00:00:00+00,0.039591
ADA,2023-12-22 00:00:00+00,0.022439
ADA,2023-12-23 00:00:00+00,0.014476
ADA,2023-12-24 00:00:00+00,0.015251
ADA,2023-12-25 00:00:00+00,0.079375
ADA,2023-12-26 00:00:00+00,0.015131
ADA,2023-12-27 00:00:00+00,0.068611
ADA,2023-12-28 00:00:00+00,0.038169
ADA,2023-12-29 00:00:00+00,0.018082
ADA,2023-12-30 00:00:00+00,0.034387
ADA,2023-12-31 00:00:00+00,0.020011
BNB,2023-04-23 00:00:00+00,-0.03474464
BNB,2023-04-24 00:00:00+00,-0.08574809
BNB,2023-04-25 00:00:00+00,-0.06474964
BNB,2023-04-26 00:00:00+00,-0.122975
BNB,2023-04-27 00:00:00+00,-0.09781
BNB,2023-04-28 00:00:00+00,-0.015059
BNB,2023-04-29 00:00:00+00,-0.0117
BNB,2023-04-30 00:00:00+00,-0.10931
BNB,2023-05-01 00:00:00+00,-0.153368
BNB,2023-05-02 00:00:00+00,-0.146823
BNB,2023-05-03 00:00:00+00,-0.00024
BNB,2023-05-04 00:00:00+00,-0.001611
BNB,2023-05-05 00:00:00+00,-0.007453
BNB,2023-05-06 00:00:00+00,-0.015082
BNB,2023-05-07 00:00:00+00,-0.023466
BNB,2023-05-08 00:00:00+00,-0.021625
BNB,2023-05-09 00:00:00+00,-0.006611
BNB,2023-05-10 00:00:00+00,-0.004269
BNB,2023-05-11 00:00:00+00,-0.031978
BNB,2023-05-12 00:00:00+00,-0.005561
BNB,2023-05-13 00:00:00+00,-0.00004
BNB,2023-05-14 00:00:00+00,-0.017081
BNB,2023-05-15 00:00:00+00,-0.006239
BNB,2023-05-16 00:00:00+00,-0.004131
BNB,2023-05-17 00:00:00+00,0.000725
BNB,2023-05-18 00:00:00+00,0.000098
BNB,2023-05-19 00:00:00+00,-0.001635
BNB,2023-05-20 00:00:00+00,0.001844
BNB,2023-05-21 00:00:00+00,-0.000034
BNB,2023-05-22 00:00:00+00,0.00178
BNB,2023-05-23 00:00:00+00,0.000865
BNB,2023-05-24 00:00:00+00,-0.000587
BNB,2023-05-25 00:00:00+00,0.002439
BNB,2023-05-26 00:00:00+00,0.001115
BNB,2023-05-27 00:00:00+00,0.007513
BNB,2023-05-28 00:00:00+00,0.007513
BNB,2023-05-29 00:00:00+00,0.013735
BNB,2023-05-30 00:00:00+00,0.001058
BNB,2023-05-31 00:00:00+00,0.001087
BNB,2023-06-01 00:00:00+00,0.002874
BNB,2023-06-02 00:00:00+00,0.008099
BNB,2023-06-03 00:00:00+00,0.001355
BNB,2023-06-04 00:00:00+00,0.012072
BNB,2023-06-05 00:00:00+00,-0.003087
BNB,2023-06-06 00:00:00+00,-0.002957
BNB,2023-06-07 00:00:00+00,0.001421
BNB,2023-06-08 00:00:00+00,-0.000025
BNB,2023-06-09 00:00:00+00,0.00782
BNB,2023-06-10 00:00:00+00,-0.006876
BNB,2023-06-11 00:00:00+00,-0.006759
BNB,2023-06-12 00:00:00+00,-0.007052
BNB,2023-06-13 00:00:00+00,-0.004641
BNB,2023-06-14 00:00:00+00,-0.041094
BNB,2023-06-15 00:00:00+00,-0.005701
BNB,2023-06-16 00:00:00+00,-0.000436
BNB,2023-06-17 00:00:00+00,-0.00114
BNB,2023-06-18 00:00:00+00,-0.001028
BNB,2023-06-19 00:00:00+00,-0.001718
BNB,2023-06-20 00:00:00+00,0.007207
BNB,2023-06-21 00:00:00+00,0.001562
BNB,2023-06-22 00:00:00+00,-0.000577
BNB,2023-06-23 00:00:00+00,0.003832
BNB,2023-06-24 00:00:00+00,-0.003863
BNB,2023-06-25 00:00:00+00,0.002544
BNB,2023-06-26 00:00:00+00,0.000167
BNB,2023-06-27 00:00:00+00,-0.000306
BNB,2023-06-28 00:00:00+00,-0.007179
BNB,2023-06-29 00:00:00+00,-0.001965
BNB,2023-06-30 00:00:00+00,0.009992
BNB,2023-07-01 00:00:00+00,0.011469
BNB,2023-07-02 00:00:00+00,0.009582
BNB,2023-07-03 00:00:00+00,-0.002931
BNB,2023-07-04 00:00:00+00,-0.000743
BNB,2023-07-05 00:00:00+00,-0.003445
BNB,2023-07-06 00:00:00+00,-0.04815
BNB,2023-07-07 00:00:00+00,-0.014766
BNB,2023-07-08 00:00:00+00,-0.003126
BNB,2023-07-09 00:00:00+00,-0.014325
BNB,2023-07-10 00:00:00+00,-0.028311
BNB,2023-07-11 00:00:00+00,-0.039548
BNB,2023-07-12 00:00:00+00,-0.10619
BNB,2023-07-13 00:00:00+00,0.002996
BNB,2023-07-14 00:00:00+00,-0.121265
BNB,2023-07-15 00:00:00+00,-0.082237
BNB,2023-07-16 00:00:00+00,-0.180909
BNB,2023-07-17 00:00:00+00,-0.018681
BNB,2023-07-18 00:00:00+00,0.002621
BNB,2023-07-19 00:00:00+00,0.005664
BNB,2023-07-20 00:00:00+00,0.008425
BNB,2023-07-21 00:00:00+00,0.011537
BNB,2023-07-22 00:00:00+00,0.002488
BNB,2023-07-23 00:00:00+00,0.000964
BNB,2023-07-24 00:00:00+00,0.003276
BNB,2023-07-25 00:00:00+00,0.001652
BNB,2023-07-26 00:00:00+00,0.000233
BNB,2023-07-27 00:00:00+00,0.005492
BNB,2023-07-28 00:00:00+00,0.002825
BNB,2023-07-29 00:00:00+00,0.00607
BNB,2023-07-30 00:00:00+00,0.010007
BNB,2023-07-31 00:00:00+00,0.002448
BNB,2023-08-01 00:00:00+00,0.001202
BNB,2023-08-02 00:00:00+00,0.004528
BNB,2023-08-03 00:00:00+00,-0.002149
BNB,2023-08-04 00:00:00+00,0.000393
BNB,2023-08-05 00:00:00+00,0.000375
BNB,2023-08-06 00:00:00+00,0.000123
BNB,2023-08-07 00:00:00+00,-0.001192
BNB,2023-08-08 00:00:00+00,0.018382
BNB,2023-08-09 00:00:00+00,-0.002861
BNB,2023-08-10 00:00:00+00,-0.013948
BNB,2023-08-11 00:00:00+00,-0.021232
BNB,2023-08-12 00:00:00+00,-0.027816
BNB,2023-08-13 00:00:00+00,-0.004522
BNB,2023-08-14 00:00:00+00,-0.011525
BNB,2023-08-15 00:00:00+00,-0.044417
BNB,2023-08-16 00:00:00+00,-0.02154
BNB,2023-08-17 00:00:00+00,-0.075728
BNB,2023-08-18 00:00:00+00,-0.026166
BNB,2023-08-19 00:00:00+00,-0.005458
BNB,2023-08-20 00:00:00+00,-0.000276
BNB,2023-08-21 00:00:00+00,-0.012894
BNB,2023-08-22 00:00:00+00,-0.052956
BNB,2023-08-23 00:00:00+00,-0.02295
BNB,2023-08-24 00:00:00+00,-0.006677
BNB,2023-08-25 00:00:00+00,-0.001089
BNB,2023-08-26 00:00:00+00,-0.005606
BNB,2023-08-27 00:00:00+00,-0.004923
BNB,2023-08-28 00:00:00+00,0.000311
BNB,2023-08-29 00:00:00+00,0.000043
BNB,2023-08-30 00:00:00+00,0.000877
BNB,2023-08-31 00:00:00+00,-0.005214
BNB,2023-09-01 00:00:00+00,0.000291
BNB,2023-09-02 00:00:00+00,-0.006314
BNB,2023-09-03 00:00:00+00,-0.003206
BNB,2023-09-04 00:00:00+00,-0.003158
BNB,2023-09-05 00:00:00+00,-0.003097
BNB,2023-09-06 00:00:00+00,-0.00373
BNB,2023-09-07 00:00:00+00,0.00039
BNB,2023-09-08 00:00:00+00,-0.003418
BNB,2023-09-09 00:00:00+00,-0.001596
BNB,2023-09-10 00:00:00+00,-0.000949
BNB,2023-09-11 00:00:00+00,0.00026
BNB,2023-09-12 00:00:00+00,0.000711
BNB,2023-09-13 00:00:00+00,-0.000053
BNB,2023-09-14 00:00:00+00,-0.002963
BNB,2023-09-15 00:00:00+00,-0.000735
BNB,2023-09-16 00:00:00+00,-0.00308
BNB,2023-09-17 00:00:00+00,-0.003657
BNB,2023-09-18 00:00:00+00,-0.001482
BNB,2023-09-19 00:00:00+00,-0.002898
BNB,2023-09-20 00:00:00+00,-0.001289
BNB,2023-09-21 00:00:00+00,-0.000235
BNB,2023-09-22 00:00:00+00,0.001525
BNB,2023-09-23 00:00:00+00,-0.001226
BNB,2023-09-24 00:00:00+00,0.000264
BNB,2023-09-25 00:00:00+00,0.000126
BNB,2023-09-26 00:00:00+00,0.002168
BNB,2023-09-27 00:00:00+00,0.007817
BNB,2023-09-28 00:00:00+00,0.000364
BNB,2023-09-29 00:00:00+00,-0.000319
BNB,2023-09-30 00:00:00+00,0.000584
BNB,2023-10-01 00:00:00+00,0.003136
BNB,2023-10-02 00:00:00+00,0.003123
BNB,2023-10-03 00:00:00+00,0.001228
BNB,2023-10-04 00:00:00+00,0.001878
BNB,2023-10-05 00:00:00+00,0.001084
BNB,2023-10-06 00:00:00+00,0.001384
BNB,2023-10-07 00:00:00+00,0.003264
BNB,2023-10-08 00:00:00+00,0.002167
BNB,2023-10-09 00:00:00+00,-0.004195
