symbol,ts_utc,long_qty,short_qty
BTC,2022-01-17 00:00:00+00,31953.81,2692.18
BTC,2022-01-18 00:00:00+00,32011.78,2767.99
BTC,2022-01-19 00:00:00+00,32011.78,2767.99
BTC,2022-01-20 00:00:00+00,32011.78,2767.99
BTC,2022-01-21 00:00:00+00,32011.78,2767.99
BTC,2022-01-22 00:00:00+00,32838.3,3162.78
BTC,2022-01-23 00:00:00+00,33422.62,2979.21
BTC,2022-01-24 00:00:00+00,32954.83,2753.34
BTC,2022-01-25 00:00:00+00,32954.83,2753.34
BTC,2022-01-26 00:00:00+00,32954.83,2753.34
BTC,2022-01-27 00:00:00+00,32954.83,2753.34
BTC,2022-01-28 00:00:00+00,32954.83,2753.34
BTC,2022-01-29 00:00:00+00,32954.83,2753.34
BTC,2022-01-30 00:00:00+00,32954.83,2753.34
BTC,2022-01-31 00:00:00+00,32954.83,2753.34
BTC,2022-02-01 00:00:00+00,32954.83,2753.34
BTC,2022-02-02 00:00:00+00,32954.83,2753.34
BTC,2022-02-03 00:00:00+00,33870.29,2356.08
BTC,2022-02-04 00:00:00+00,34548.51,2573.5
BTC,2022-02-05 00:00:00+00,34548.51,2573.5
BTC,2022-02-06 00:00:00+00,34666.97,2431.5
BTC,2022-02-07 00:00:00+00,34705.21,2522.47
BTC,2022-02-08 00:00:00+00,34909.33,2664.02
BTC,2022-02-09 00:00:00+00,34909.33,2664.02
BTC,2022-02-10 00:00:00+00,34909.33,2664.02
BTC,2022-02-11 00:00:00+00,34909.33,2664.02
BTC,2022-02-12 00:00:00+00,34909.33,2664.02
BTC,2022-02-13 00:00:00+00,34909.33,2664.02
BTC,2022-02-14 00:00:00+00,34909.33,2664.02
BTC,2022-02-15 00:00:00+00,35057.02,2394.47
BTC,2022-02-16 00:00:00+00,35057.02,2394.47
BTC,2022-02-17 00:00:00+00,35057.02,2394.47
BTC,2022-02-18 00:00:00+00,35057.02,2394.47
BTC,2022-02-19 00:00:00+00,35057.02,2394.47
BTC,2022-02-20 00:00:00+00,35057.02,2394.47
BTC,2022-02-21 00:00:00+00,35057.02,2394.47
BTC,2022-02-22 00:00:00+00,37592.99,2876.57
BTC,2022-02-23 00:00:00+00,37592.99,2876.57
BTC,2022-02-24 00:00:00+00,37592.99,2876.57
BTC,2022-02-25 00:00:00+00,40288.18,3784.33
BTC,2022-02-26 00:00:00+00,40288.18,3784.33
BTC,2022-02-27 00:00:00+00,40615.35,2612.92
BTC,2022-02-28 00:00:00+00,40880.85,2190.21
BTC,2022-03-01 00:00:00+00,40880.85,2190.21
BTC,2022-03-02 00:00:00+00,40935.69,1487.09
BTC,2022-03-03 00:00:00+00,41491.84,1447.92
BTC,2022-03-04 00:00:00+00,41491.84,1447.92
BTC,2022-03-05 00:00:00+00,41491.84,1447.92
BTC,2022-03-06 00:00:00+00,41491.84,1447.92
BTC,2022-03-07 00:00:00+00,42805.47,1230.88
BTC,2022-03-08 00:00:00+00,42805.47,1230.88
BTC,2022-03-09 00:00:00+00,43547.37,1574.75
BTC,2022-03-10 00:00:00+00,43424.34,1537.28
BTC,2022-03-11 00:00:00+00,43424.34,1537.28
BTC,2022-03-12 00:00:00+00,44020.22,5189.96
BTC,2022-03-13 00:00:00+00,44310.94,5218.54
BTC,2022-03-14 00:00:00+00,44310.94,5218.54
BTC,2022-03-15 00:00:00+00,44421.6,2775.3
